ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,regiao_prof,ugf
2013,RO3132,Falso Alarme,Setúbal,Seixal,Corroios,JT AO CAMPO DA BOLA,151005,110200,186399,2013-01-13,18:19:00,2013-01-13,18:40:00,2013-01-13,18:36:00,Populares,PT13030705,0,0,0,0,0,0,0,1,0,0,0,,,,,Ribatejo e Oeste,AML
2013,RO3133,Florestal,Setúbal,Sines,Porto Covo,JT BAIA DE PORTO COVO,151302,142300,98599,2013-01-13,17:05:00,2013-01-13,18:15:00,2013-01-13,17:27:00,Populares,PT14010502,0,0.0006,0,0.0006,0.0006,0,0,0,1,0,0,,SUDOESTE ALENTEJANO E COSTA VICENTINA,121,Negligente,Alentejo,Alentejo Litoral
2013,BL3137,Falso Alarme,Aveiro,Santa Maria da Feira,São João de Ver,Suil Park,10926,164971,442838,2013-01-14,22:02:00,2013-01-14,22:34:00,,,Outros,PT11060226,0,0,0,0,0,0,0,1,0,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga
2013,BI1135,Queimada,Guarda,Guarda,São Vicente,Instituto Politécnico da Guarda,90741,272076,397723,2013-01-15,09:20:00,2013-01-15,09:31:00,2013-01-15,09:22:00,Outros,PT12080441,0,0,0.0001,0,0.0001,0,1,0,0,0,0,,,115,Negligente,Beira Interior,Beira Interior Norte
2013,AG1131,Falso Alarme,Faro,Lagos,Odiáxere,VALE DA LAMA,80704,154900,20099,2013-01-05,17:46:00,2013-01-05,18:45:00,2013-01-05,18:10:00,Populares,PT15010704,0,0,0,0,0,0,0,1,0,0,0,,,,,Algarve,Algarve
2013,BL4138,Agrícola,Leiria,Óbidos,Vau,Gronho,101207,105600,273299,2013-01-15,17:01:00,2013-01-15,17:59:00,2013-01-15,17:21:00,Outros,PT13011007,0,0,0.0001,0,0.0001,0,0,0,0,0,1,,,124,Negligente,Ribatejo e Oeste,Oeste
2013,BL3138,Agrícola,Aveiro,Aveiro,Cacia,Póvoa do Paço,10502,158400,412199,2013-01-16,08:41:00,2013-01-16,11:10:00,2013-01-16,08:52:00,Populares,PT12010402,0,0,0.0185,0,0.0185,0,0,0,0,0,1,,,121,Negligente,Beira Litoral,Centro Litoral
2013,RO1133,Florestal,Santarém,Almeirim,Almeirim,E.N.114 - Tapada,140301,156203,250879,2013-02-06,18:21:00,2013-02-06,18:49:00,2013-02-06,18:28:00,Populares,PT13050101,0,0.0024,0,0.0024,0.0024,0,0,0,1,0,0,,,610,Desconhecida,Ribatejo e Oeste,Ribatejo
2013,BI2131,Florestal,Castelo Branco,Castelo Branco,Lousa,Quinta dos Gralhais,50213,265925,327257,2013-02-06,15:39:00,2013-02-06,17:06:00,2013-02-06,16:07:00,Outros,PT12090113,0.0001,0.0003,0,0.00039999999999999996,0.000399999999999999,0,0,0,1,0,0,,,124,Negligente,Beira Interior,Beira Interior Sul
2013,RO2132,Agrícola,Lisboa,Torres Vedras,Dois Portos,Furadouro,111305,106464,229829,2013-02-07,10:40:00,2013-02-07,11:50:00,2013-02-07,10:52:00,117,PT13011305,0,0.02,0,0.02,0.02,0,0,0,1,0,0,,,630,Desconhecida,Ribatejo e Oeste,Oeste
